service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
02.1@1,1,1,1,1,1,0,0,20250912,20251212
02.11@2,0,0,0,0,0,1,0,20250912,20251212
10.4@2,0,0,0,0,0,1,0,20250912,20251212
10.5@1,1,1,1,1,1,0,0,20250912,20251212
10.6@1,1,1,1,1,1,0,0,20250912,20251212
10.61@2,0,0,0,0,0,1,0,20250912,20251212
10.63@1,1,1,1,1,1,0,0,20250912,20251212
10.71@1,1,1,1,1,1,0,0,20250912,20251212
1112@1,1,1,1,1,1,0,0,20250912,20251212
1493@1,1,1,1,1,1,0,0,20250912,20251212
1493@2,0,0,0,0,0,1,0,20250912,20251212
20.2@2,0,0,0,0,0,1,0,20250912,20251212
244@1,1,1,1,1,1,0,0,20250912,20251212
244@3,0,0,0,0,0,0,1,20250912,20251212
244@2,0,0,0,0,0,1,0,20250912,20251212
250@1,1,1,1,1,1,0,0,20250912,20251212
251@3,0,0,0,0,0,0,1,20250912,20251212
2572@2,0,0,0,0,0,1,0,20250912,20251212
2671@2,0,0,0,0,0,1,0,20250912,20251212
2675@1,1,1,1,1,1,0,0,20250912,20251212
268@1,1,1,1,1,1,0,0,20250912,20251212
268@2,0,0,0,0,0,1,0,20250912,20251212
2681@1,1,1,1,1,1,0,0,20250912,20251212
274@2,0,0,0,0,0,1,0,20250912,20251212
2741@2,0,0,0,0,0,1,0,20250912,20251212
280@1,1,1,1,1,1,0,0,20250912,20251212
2801@2,0,0,0,0,0,1,0,20250912,20251212
281@1,1,1,1,1,1,0,0,20250912,20251212
2812@1,1,1,1,1,1,0,0,20250912,20251212
282@2,0,0,0,0,0,1,0,20250912,20251212
2821@1,1,1,1,1,1,0,0,20250912,20251212
283@3,0,0,0,0,0,0,1,20250912,20251212
30.2@3,0,0,0,0,0,0,1,20250912,20251212
30.2@2,0,0,0,0,0,1,0,20250912,20251212
343@1,1,1,1,1,1,0,0,20250912,20251212
344@3,0,0,0,0,0,0,1,20250912,20251212
3442@2,0,0,0,0,0,1,0,20250912,20251212
3443@1,1,1,1,1,1,0,0,20250912,20251212
3462@1,1,1,1,1,1,0,0,20250912,20251212
353@2,0,0,0,0,0,1,0,20250912,20251212
360@1,1,1,1,1,1,0,0,20250912,20251212
361@3,0,0,0,0,0,0,1,20250912,20251212
375@1,1,1,1,1,1,0,0,20250912,20251212
3762@2,0,0,0,0,0,1,0,20250912,20251212
3943@1,1,1,1,1,1,0,0,20250912,20251212
3945@1,1,1,1,1,1,0,0,20250912,20251212
3951@1,1,1,1,1,1,0,0,20250912,20251212
397@3,0,0,0,0,0,0,1,20250912,20251212
397@2,0,0,0,0,0,1,0,20250912,20251212
398@2,0,0,0,0,0,1,0,20250912,20251212
3983@1,1,1,1,1,1,0,0,20250912,20251212
40.4@2,0,0,0,0,0,1,0,20250912,20251212
429@3,0,0,0,0,0,0,1,20250912,20251212
429@2,0,0,0,0,0,1,0,20250912,20251212
4292@1,1,1,1,1,1,0,0,20250912,20251212
4292@2,0,0,0,0,0,1,0,20250912,20251212
436@3,0,0,0,0,0,0,1,20250912,20251212
476@1,1,1,1,1,1,0,0,20250912,20251212
49232@3,0,0,0,0,0,0,1,20250912,20251212
4925@1,1,1,1,1,1,0,0,20250912,20251212
495@1,1,1,1,1,1,0,0,20250912,20251212
4951@1,1,1,1,1,1,0,0,20250912,20251212
497@1,1,1,1,1,1,0,0,20250912,20251212
4971@1,1,1,1,1,1,0,0,20250912,20251212
50.1@1,1,1,1,1,1,0,0,20250912,20251212
50.6@1,1,1,1,1,1,0,0,20250912,20251212
5203@2,0,0,0,0,0,1,0,20250912,20251212
525@3,0,0,0,0,0,0,1,20250912,20251212
60.52@2,0,0,0,0,0,1,0,20250912,20251212
605@1,1,1,1,1,1,0,0,20250912,20251212
6102@1,1,1,1,1,1,0,0,20250912,20251212
6135@3,0,0,0,0,0,0,1,20250912,20251212
617@2,0,0,0,0,0,1,0,20250912,20251212
624@1,1,1,1,1,1,0,0,20250912,20251212
627@1,1,1,1,1,1,0,0,20250912,20251212
6276@3,0,0,0,0,0,0,1,20250912,20251212
632@1,1,1,1,1,1,0,0,20250912,20251212
6333@2,0,0,0,0,0,1,0,20250912,20251212
6372@2,0,0,0,0,0,1,0,20250912,20251212
652@3,0,0,0,0,0,0,1,20250912,20251212
6612@1,1,1,1,1,1,0,0,20250912,20251212
662@2,0,0,0,0,0,1,0,20250912,20251212
665@3,0,0,0,0,0,0,1,20250912,20251212
665@2,0,0,0,0,0,1,0,20250912,20251212
671@1,1,1,1,1,1,0,0,20250912,20251212
7041@3,0,0,0,0,0,0,1,20250912,20251212
7042@1,1,1,1,1,1,0,0,20250912,20251212
7052@1,1,1,1,1,1,0,0,20250912,20251212
7053@1,1,1,1,1,1,0,0,20250912,20251212
7151@2,0,0,0,0,0,1,0,20250912,20251212
756@2,0,0,0,0,0,1,0,20250912,20251212
761@2,0,0,0,0,0,1,0,20250912,20251212
A09@1,1,1,1,1,1,0,0,20250912,20251212
A13@2,0,0,0,0,0,1,0,20250912,20251212
A20@1,1,1,1,1,1,0,0,20250912,20251212
A27@1,1,1,1,1,1,0,0,20250912,20251212
A270@1,1,1,1,1,1,0,0,20250912,20251212
A28@1,1,1,1,1,1,0,0,20250912,20251212
A360@3,0,0,0,0,0,0,1,20250912,20251212
A621@1,1,1,1,1,1,0,0,20250912,20251212
A63@2,0,0,0,0,0,1,0,20250912,20251212
A632@1,1,1,1,1,1,0,0,20250912,20251212
A67@1,1,1,1,1,1,0,0,20250912,20251212
A70@1,1,1,1,1,1,0,0,20250912,20251212
A81@3,0,0,0,0,0,0,1,20250912,20251212
A932@1,1,1,1,1,1,0,0,20250912,20251212
A952@2,0,0,0,0,0,1,0,20250912,20251212
A953@1,1,1,1,1,1,0,0,20250912,20251212
A954@1,1,1,1,1,1,0,0,20250912,20251212
A971@1,1,1,1,1,1,0,0,20250912,20251212
A974@1,1,1,1,1,1,0,0,20250912,20251212
A991@1,1,1,1,1,1,0,0,20250912,20251212
B09@1,1,1,1,1,1,0,0,20250912,20251212
B51@3,0,0,0,0,0,0,1,20250912,20251212
C3@1,1,1,1,1,1,0,0,20250912,20251212
C31@3,0,0,0,0,0,0,1,20250912,20251212
C31@2,0,0,0,0,0,1,0,20250912,20251212
C80@2,0,0,0,0,0,1,0,20250912,20251212
E703@1,1,1,1,1,1,0,0,20250912,20251212
O398@3,0,0,0,0,0,0,1,20250912,20251212
R5@1,1,1,1,1,1,0,0,20250912,20251212
R62@1,1,1,1,1,1,0,0,20250912,20251212
R81@1,1,1,1,1,1,0,0,20250912,20251212
T12A@1,1,1,1,1,1,0,0,20250912,20251212
T13@1,1,1,1,1,1,0,0,20250912,20251212
T2@2,0,0,0,0,0,1,0,20250912,20251212
T22@3,0,0,0,0,0,0,1,20250912,20251212
T4@3,0,0,0,0,0,0,1,20250912,20251212
T9@2,0,0,0,0,0,1,0,20250912,20251212
02.1@2,0,0,0,0,0,1,0,20250912,20251212
10.4@3,0,0,0,0,0,0,1,20250912,20251212
10.61@3,0,0,0,0,0,0,1,20250912,20251212
10.7@2,0,0,0,0,0,1,0,20250912,20251212
10.71@2,0,0,0,0,0,1,0,20250912,20251212
110@3,0,0,0,0,0,0,1,20250912,20251212
110@2,0,0,0,0,0,1,0,20250912,20251212
1102@1,1,1,1,1,1,0,0,20250912,20251212
165@1,1,1,1,1,1,0,0,20250912,20251212
165@3,0,0,0,0,0,0,1,20250912,20251212
173@3,0,0,0,0,0,0,1,20250912,20251212
176@1,1,1,1,1,1,0,0,20250912,20251212
184@1,1,1,1,1,1,0,0,20250912,20251212
184@2,0,0,0,0,0,1,0,20250912,20251212
188@1,1,1,1,1,1,0,0,20250912,20251212
189@3,0,0,0,0,0,0,1,20250912,20251212
195@2,0,0,0,0,0,1,0,20250912,20251212
20.4@1,1,1,1,1,1,0,0,20250912,20251212
20.6@2,0,0,0,0,0,1,0,20250912,20251212
209@2,0,0,0,0,0,1,0,20250912,20251212
216@2,0,0,0,0,0,1,0,20250912,20251212
2441@2,0,0,0,0,0,1,0,20250912,20251212
253@1,1,1,1,1,1,0,0,20250912,20251212
254@3,0,0,0,0,0,0,1,20250912,20251212
2552@3,0,0,0,0,0,0,1,20250912,20251212
25611@1,1,1,1,1,1,0,0,20250912,20251212
25612@1,1,1,1,1,1,0,0,20250912,20251212
2572@1,1,1,1,1,1,0,0,20250912,20251212
2573@1,1,1,1,1,1,0,0,20250912,20251212
2601@2,0,0,0,0,0,1,0,20250912,20251212
266@1,1,1,1,1,1,0,0,20250912,20251212
2701@1,1,1,1,1,1,0,0,20250912,20251212
273@1,1,1,1,1,1,0,0,20250912,20251212
2731@3,0,0,0,0,0,0,1,20250912,20251212
2813@3,0,0,0,0,0,0,1,20250912,20251212
289@1,1,1,1,1,1,0,0,20250912,20251212
289@3,0,0,0,0,0,0,1,20250912,20251212
30.2@1,1,1,1,1,1,0,0,20250912,20251212
346@1,1,1,1,1,1,0,0,20250912,20251212
3462@2,0,0,0,0,0,1,0,20250912,20251212
353@1,1,1,1,1,1,0,0,20250912,20251212
3944@1,1,1,1,1,1,0,0,20250912,20251212
3947@1,1,1,1,1,1,0,0,20250912,20251212
395@1,1,1,1,1,1,0,0,20250912,20251212
3953@1,1,1,1,1,1,0,0,20250912,20251212
397@1,1,1,1,1,1,0,0,20250912,20251212
3981@1,1,1,1,1,1,0,0,20250912,20251212
3984@1,1,1,1,1,1,0,0,20250912,20251212
3984@2,0,0,0,0,0,1,0,20250912,20251212
40.4@1,1,1,1,1,1,0,0,20250912,20251212
4321@1,1,1,1,1,1,0,0,20250912,20251212
43312@3,0,0,0,0,0,0,1,20250912,20251212
43322@3,0,0,0,0,0,0,1,20250912,20251212
43322@2,0,0,0,0,0,1,0,20250912,20251212
441@2,0,0,0,0,0,1,0,20250912,20251212
4411@1,1,1,1,1,1,0,0,20250912,20251212
470@2,0,0,0,0,0,1,0,20250912,20251212
473@1,1,1,1,1,1,0,0,20250912,20251212
491@2,0,0,0,0,0,1,0,20250912,20251212
494@1,1,1,1,1,1,0,0,20250912,20251212
