service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4943@1,1,1,1,1,1,0,0,20250912,20251212
60.52@1,1,1,1,1,1,0,0,20250912,20251212
613@1,1,1,1,1,1,0,0,20250912,20251212
621@3,0,0,0,0,0,0,1,20250912,20251212
621@2,0,0,0,0,0,1,0,20250912,20251212
624@2,0,0,0,0,0,1,0,20250912,20251212
631@3,0,0,0,0,0,0,1,20250912,20251212
631@2,0,0,0,0,0,1,0,20250912,20251212
632@2,0,0,0,0,0,1,0,20250912,20251212
650@2,0,0,0,0,0,1,0,20250912,20251212
653@2,0,0,0,0,0,1,0,20250912,20251212
654@3,0,0,0,0,0,0,1,20250912,20251212
656@1,1,1,1,1,1,0,0,20250912,20251212
659@2,0,0,0,0,0,1,0,20250912,20251212
662@1,1,1,1,1,1,0,0,20250912,20251212
662@3,0,0,0,0,0,0,1,20250912,20251212
665@1,1,1,1,1,1,0,0,20250912,20251212
671@2,0,0,0,0,0,1,0,20250912,20251212
718@1,1,1,1,1,1,0,0,20250912,20251212
718@3,0,0,0,0,0,0,1,20250912,20251212
721@1,1,1,1,1,1,0,0,20250912,20251212
731@1,1,1,1,1,1,0,0,20250912,20251212
731@2,0,0,0,0,0,1,0,20250912,20251212
861@1,1,1,1,1,1,0,0,20250912,20251212
A09@2,0,0,0,0,0,1,0,20250912,20251212
A14@2,0,0,0,0,0,1,0,20250912,20251212
A15@1,1,1,1,1,1,0,0,20250912,20251212
A19@3,0,0,0,0,0,0,1,20250912,20251212
A21@1,1,1,1,1,1,0,0,20250912,20251212
A24@1,1,1,1,1,1,0,0,20250912,20251212
A33@1,1,1,1,1,1,0,0,20250912,20251212
A348@1,1,1,1,1,1,0,0,20250912,20251212
A360@2,0,0,0,0,0,1,0,20250912,20251212
A60@1,1,1,1,1,1,0,0,20250912,20251212
A66@1,1,1,1,1,1,0,0,20250912,20251212
A671@1,1,1,1,1,1,0,0,20250912,20251212
A69@2,0,0,0,0,0,1,0,20250912,20251212
A74@3,0,0,0,0,0,0,1,20250912,20251212
A85@1,1,1,1,1,1,0,0,20250912,20251212
A952@1,1,1,1,1,1,0,0,20250912,20251212
A954@3,0,0,0,0,0,0,1,20250912,20251212
A954@2,0,0,0,0,0,1,0,20250912,20251212
A974@3,0,0,0,0,0,0,1,20250912,20251212
A99@2,0,0,0,0,0,1,0,20250912,20251212
B02@1,1,1,1,1,1,0,0,20250912,20251212
B02@2,0,0,0,0,0,1,0,20250912,20251212
B25@2,0,0,0,0,0,1,0,20250912,20251212
B55@3,0,0,0,0,0,0,1,20250912,20251212
C2@3,0,0,0,0,0,0,1,20250912,20251212
C2@2,0,0,0,0,0,1,0,20250912,20251212
C80@1,1,1,1,1,1,0,0,20250912,20251212
E178@2,0,0,0,0,0,1,0,20250912,20251212
M21@3,0,0,0,0,0,0,1,20250912,20251212
M21@2,0,0,0,0,0,1,0,20250912,20251212
M681@2,0,0,0,0,0,1,0,20250912,20251212
M79@3,0,0,0,0,0,0,1,20250912,20251212
O210@3,0,0,0,0,0,0,1,20250912,20251212
O627@3,0,0,0,0,0,0,1,20250912,20251212
O662@3,0,0,0,0,0,0,1,20250912,20251212
R1@1,1,1,1,1,1,0,0,20250912,20251212
R10@2,0,0,0,0,0,1,0,20250912,20251212
R321@2,0,0,0,0,0,1,0,20250912,20251212
R67@1,1,1,1,1,1,0,0,20250912,20251212
SD72@1,1,1,1,1,1,0,0,20250912,20251212
T2@1,1,1,1,1,1,0,0,20250912,20251212
T2A@1,1,1,1,1,1,0,0,20250912,20251212
T3@1,1,1,1,1,1,0,0,20250912,20251212
T51@2,0,0,0,0,0,1,0,20250912,20251212
T9@3,0,0,0,0,0,0,1,20250912,20251212
10.3@2,0,0,0,0,0,1,0,20250912,20251212
10.4@1,1,1,1,1,1,0,0,20250912,20251212
10.5@2,0,0,0,0,0,1,0,20250912,20251212
10.6@2,0,0,0,0,0,1,0,20250912,20251212
10.61@1,1,1,1,1,1,0,0,20250912,20251212
10.7@1,1,1,1,1,1,0,0,20250912,20251212
1493@3,0,0,0,0,0,0,1,20250912,20251212
171@2,0,0,0,0,0,1,0,20250912,20251212
173@1,1,1,1,1,1,0,0,20250912,20251212
173@2,0,0,0,0,0,1,0,20250912,20251212
179@3,0,0,0,0,0,0,1,20250912,20251212
1795@1,1,1,1,1,1,0,0,20250912,20251212
210@1,1,1,1,1,1,0,0,20250912,20251212
211@1,1,1,1,1,1,0,0,20250912,20251212
211@3,0,0,0,0,0,0,1,20250912,20251212
216@3,0,0,0,0,0,0,1,20250912,20251212
2441@1,1,1,1,1,1,0,0,20250912,20251212
250@3,0,0,0,0,0,0,1,20250912,20251212
251@2,0,0,0,0,0,1,0,20250912,20251212
2531@3,0,0,0,0,0,0,1,20250912,20251212
254@1,1,1,1,1,1,0,0,20250912,20251212
255@1,1,1,1,1,1,0,0,20250912,20251212
25613@3,0,0,0,0,0,0,1,20250912,20251212
2576@3,0,0,0,0,0,0,1,20250912,20251212
2576@2,0,0,0,0,0,1,0,20250912,20251212
2601@3,0,0,0,0,0,0,1,20250912,20251212
2602@3,0,0,0,0,0,0,1,20250912,20251212
2631@2,0,0,0,0,0,1,0,20250912,20251212
264@2,0,0,0,0,0,1,0,20250912,20251212
2672@1,1,1,1,1,1,0,0,20250912,20251212
2701@2,0,0,0,0,0,1,0,20250912,20251212
272@1,1,1,1,1,1,0,0,20250912,20251212
272@2,0,0,0,0,0,1,0,20250912,20251212
2731@2,0,0,0,0,0,1,0,20250912,20251212
274@1,1,1,1,1,1,0,0,20250912,20251212
2741@1,1,1,1,1,1,0,0,20250912,20251212
2741@3,0,0,0,0,0,0,1,20250912,20251212
2801@3,0,0,0,0,0,0,1,20250912,20251212
2813@2,0,0,0,0,0,1,0,20250912,20251212
2814@2,0,0,0,0,0,1,0,20250912,20251212
283@1,1,1,1,1,1,0,0,20250912,20251212
283@2,0,0,0,0,0,1,0,20250912,20251212
284@2,0,0,0,0,0,1,0,20250912,20251212
2843@3,0,0,0,0,0,0,1,20250912,20251212
286@1,1,1,1,1,1,0,0,20250912,20251212
286@3,0,0,0,0,0,0,1,20250912,20251212
289@2,0,0,0,0,0,1,0,20250912,20251212
344@1,1,1,1,1,1,0,0,20250912,20251212
3442@1,1,1,1,1,1,0,0,20250912,20251212
3462@3,0,0,0,0,0,0,1,20250912,20251212
347@1,1,1,1,1,1,0,0,20250912,20251212
361@1,1,1,1,1,1,0,0,20250912,20251212
3973@1,1,1,1,1,1,0,0,20250912,20251212
3974@1,1,1,1,1,1,0,0,20250912,20251212
429@1,1,1,1,1,1,0,0,20250912,20251212
43311@1,1,1,1,1,1,0,0,20250912,20251212
43311@2,0,0,0,0,0,1,0,20250912,20251212
436@1,1,1,1,1,1,0,0,20250912,20251212
436@2,0,0,0,0,0,1,0,20250912,20251212
4382@1,1,1,1,1,1,0,0,20250912,20251212
4382@3,0,0,0,0,0,0,1,20250912,20251212
4382@2,0,0,0,0,0,1,0,20250912,20251212
441@3,0,0,0,0,0,0,1,20250912,20251212
4906@1,1,1,1,1,1,0,0,20250912,20251212
4911@1,1,1,1,1,1,0,0,20250912,20251212
49231@2,0,0,0,0,0,1,0,20250912,20251212
49232@2,0,0,0,0,0,1,0,20250912,20251212
4944@1,1,1,1,1,1,0,0,20250912,20251212
4944@3,0,0,0,0,0,0,1,20250912,20251212
4952@1,1,1,1,1,1,0,0,20250912,20251212
50.1@3,0,0,0,0,0,0,1,20250912,20251212
50.1@2,0,0,0,0,0,1,0,20250912,20251212
50.6@2,0,0,0,0,0,1,0,20250912,20251212
525@1,1,1,1,1,1,0,0,20250912,20251212
60.4@1,1,1,1,1,1,0,0,20250912,20251212
60.5@1,1,1,1,1,1,0,0,20250912,20251212
60.5@3,0,0,0,0,0,0,1,20250912,20251212
60.5@2,0,0,0,0,0,1,0,20250912,20251212
6102@3,0,0,0,0,0,0,1,20250912,20251212
6102@2,0,0,0,0,0,1,0,20250912,20251212
6135@2,0,0,0,0,0,1,0,20250912,20251212
614@1,1,1,1,1,1,0,0,20250912,20251212
620@1,1,1,1,1,1,0,0,20250912,20251212
620@3,0,0,0,0,0,0,1,20250912,20251212
620@2,0,0,0,0,0,1,0,20250912,20251212
627@3,0,0,0,0,0,0,1,20250912,20251212
632@3,0,0,0,0,0,0,1,20250912,20251212
6333@3,0,0,0,0,0,0,1,20250912,20251212
6372@3,0,0,0,0,0,0,1,20250912,20251212
650@1,1,1,1,1,1,0,0,20250912,20251212
653@1,1,1,1,1,1,0,0,20250912,20251212
659@3,0,0,0,0,0,0,1,20250912,20251212
661@1,1,1,1,1,1,0,0,20250912,20251212
6712@3,0,0,0,0,0,0,1,20250912,20251212
701@1,1,1,1,1,1,0,0,20250912,20251212
701@2,0,0,0,0,0,1,0,20250912,20251212
704@1,1,1,1,1,1,0,0,20250912,20251212
704@3,0,0,0,0,0,0,1,20250912,20251212
704@2,0,0,0,0,0,1,0,20250912,20251212
7052@2,0,0,0,0,0,1,0,20250912,20251212
718@2,0,0,0,0,0,1,0,20250912,20251212
7612@2,0,0,0,0,0,1,0,20250912,20251212
8612@1,1,1,1,1,1,0,0,20250912,20251212
A1@1,1,1,1,1,1,0,0,20250912,20251212
A11@1,1,1,1,1,1,0,0,20250912,20251212
A13@1,1,1,1,1,1,0,0,20250912,20251212
A48@3,0,0,0,0,0,0,1,20250912,20251212
A62@3,0,0,0,0,0,0,1,20250912,20251212
A63@1,1,1,1,1,1,0,0,20250912,20251212
A631@1,1,1,1,1,1,0,0,20250912,20251212
A69@1,1,1,1,1,1,0,0,20250912,20251212
A87@3,0,0,0,0,0,0,1,20250912,20251212
A87@2,0,0,0,0,0,1,0,20250912,20251212
A955@1,1,1,1,1,1,0,0,20250912,20251212
B02@3,0,0,0,0,0,0,1,20250912,20251212
B51@1,1,1,1,1,1,0,0,20250912,20251212
B51@2,0,0,0,0,0,1,0,20250912,20251212
B55@2,0,0,0,0,0,1,0,20250912,20251212
B56@2,0,0,0,0,0,1,0,20250912,20251212
C22@3,0,0,0,0,0,0,1,20250912,20251212
D67@1,1,1,1,1,1,0,0,20250912,20251212
E703@3,0,0,0,0,0,0,1,20250912,20251212
M10@3,0,0,0,0,0,0,1,20250912,20251212
M21@1,1,1,1,1,1,0,0,20250912,20251212
M31@3,0,0,0,0,0,0,1,20250912,20251212
M31@2,0,0,0,0,0,1,0,20250912,20251212
M52@2,0,0,0,0,0,1,0,20250912,20251212
M68@1,1,1,1,1,1,0,0,20250912,20251212
M681@1,1,1,1,1,1,0,0,20250912,20251212
M79@1,1,1,1,1,1,0,0,20250912,20251212
M98@2,0,0,0,0,0,1,0,20250912,20251212
O627@2,0,0,0,0,0,1,0,20250912,20251212
O662@2,0,0,0,0,0,1,0,20250912,20251212
R31@1,1,1,1,1,1,0,0,20250912,20251212
R68@1,1,1,1,1,1,0,0,20250912,20251212
SD73@1,1,1,1,1,1,0,0,20250912,20251212
T1@1,1,1,1,1,1,0,0,20250912,20251212
T1@2,0,0,0,0,0,1,0,20250912,20251212
02.11@1,1,1,1,1,1,0,0,20250912,20251212
10.3@1,1,1,1,1,1,0,0,20250912,20251212
10.6@3,0,0,0,0,0,0,1,20250912,20251212
111@1,1,1,1,1,1,0,0,20250912,20251212
171@1,1,1,1,1,1,0,0,20250912,20251212
1713@1,1,1,1,1,1,0,0,20250912,20251212
179@1,1,1,1,1,1,0,0,20250912,20251212
184@3,0,0,0,0,0,0,1,20250912,20251212
188@2,0,0,0,0,0,1,0,20250912,20251212
189@1,1,1,1,1,1,0,0,20250912,20251212
189@2,0,0,0,0,0,1,0,20250912,20251212
195@3,0,0,0,0,0,0,1,20250912,20251212
209@1,1,1,1,1,1,0,0,20250912,20251212
209@3,0,0,0,0,0,0,1,20250912,20251212
210@3,0,0,0,0,0,0,1,20250912,20251212
210@2,0,0,0,0,0,1,0,20250912,20251212
211@2,0,0,0,0,0,1,0,20250912,20251212
2531@2,0,0,0,0,0,1,0,20250912,20251212
254@2,0,0,0,0,0,1,0,20250912,20251212
2541@3,0,0,0,0,0,0,1,20250912,20251212
25613@1,1,1,1,1,1,0,0,20250912,20251212
2601@1,1,1,1,1,1,0,0,20250912,20251212
262@3,0,0,0,0,0,0,1,20250912,20251212
262@2,0,0,0,0,0,1,0,20250912,20251212
2631@1,1,1,1,1,1,0,0,20250912,20251212
264@3,0,0,0,0,0,0,1,20250912,20251212
266@2,0,0,0,0,0,1,0,20250912,20251212
2672@2,0,0,0,0,0,1,0,20250912,20251212
2726@1,1,1,1,1,1,0,0,20250912,20251212
2732@1,1,1,1,1,1,0,0,20250912,20251212
2733@2,0,0,0,0,0,1,0,20250912,20251212
2802@1,1,1,1,1,1,0,0,20250912,20251212
2814@3,0,0,0,0,0,0,1,20250912,20251212
2816@2,0,0,0,0,0,1,0,20250912,20251212
282@1,1,1,1,1,1,0,0,20250912,20251212
282@3,0,0,0,0,0,0,1,20250912,20251212
2821@2,0,0,0,0,0,1,0,20250912,20251212
2843@2,0,0,0,0,0,1,0,20250912,20251212
286@2,0,0,0,0,0,1,0,20250912,20251212
343@3,0,0,0,0,0,0,1,20250912,20251212
3441@1,1,1,1,1,1,0,0,20250912,20251212
345@1,1,1,1,1,1,0,0,20250912,20251212
349@2,0,0,0,0,0,1,0,20250912,20251212
353@3,0,0,0,0,0,0,1,20250912,20251212
375@3,0,0,0,0,0,0,1,20250912,20251212
3762@1,1,1,1,1,1,0,0,20250912,20251212
3763@3,0,0,0,0,0,0,1,20250912,20251212
3942@1,1,1,1,1,1,0,0,20250912,20251212
3946@1,1,1,1,1,1,0,0,20250912,20251212
3946@3,0,0,0,0,0,0,1,20250912,20251212
3946@2,0,0,0,0,0,1,0,20250912,20251212
3947@2,0,0,0,0,0,1,0,20250912,20251212
3972@1,1,1,1,1,1,0,0,20250912,20251212
398@3,0,0,0,0,0,0,1,20250912,20251212
43321@2,0,0,0,0,0,1,0,20250912,20251212
470@3,0,0,0,0,0,0,1,20250912,20251212
491@1,1,1,1,1,1,0,0,20250912,20251212
4924@1,1,1,1,1,1,0,0,20250912,20251212
4942@1,1,1,1,1,1,0,0,20250912,20251212
4951@2,0,0,0,0,0,1,0,20250912,20251212
496@1,1,1,1,1,1,0,0,20250912,20251212
50.2@1,1,1,1,1,1,0,0,20250912,20251212
50.31@1,1,1,1,1,1,0,0,20250912,20251212
60.4@3,0,0,0,0,0,0,1,20250912,20251212
60.4@2,0,0,0,0,0,1,0,20250912,20251212
617@1,1,1,1,1,1,0,0,20250912,20251212
6372@1,1,1,1,1,1,0,0,20250912,20251212
650@3,0,0,0,0,0,0,1,20250912,20251212
652@1,1,1,1,1,1,0,0,20250912,20251212
654@1,1,1,1,1,1,0,0,20250912,20251212
656@3,0,0,0,0,0,0,1,20250912,20251212
7052@3,0,0,0,0,0,0,1,20250912,20251212
721@2,0,0,0,0,0,1,0,20250912,20251212
727@1,1,1,1,1,1,0,0,20250912,20251212
727@2,0,0,0,0,0,1,0,20250912,20251212
761@1,1,1,1,1,1,0,0,20250912,20251212
7612@1,1,1,1,1,1,0,0,20250912,20251212
762@2,0,0,0,0,0,1,0,20250912,20251212
A13@3,0,0,0,0,0,0,1,20250912,20251212
A288@1,1,1,1,1,1,0,0,20250912,20251212
A69@3,0,0,0,0,0,0,1,20250912,20251212
A81@2,0,0,0,0,0,1,0,20250912,20251212
A85@2,0,0,0,0,0,1,0,20250912,20251212
A974@2,0,0,0,0,0,1,0,20250912,20251212
A99@1,1,1,1,1,1,0,0,20250912,20251212
A991@3,0,0,0,0,0,0,1,20250912,20251212
A993@1,1,1,1,1,1,0,0,20250912,20251212
B09@2,0,0,0,0,0,1,0,20250912,20251212
C22@2,0,0,0,0,0,1,0,20250912,20251212
E378@1,1,1,1,1,1,0,0,20250912,20251212
E703@2,0,0,0,0,0,1,0,20250912,20251212
M10@2,0,0,0,0,0,1,0,20250912,20251212
M31@1,1,1,1,1,1,0,0,20250912,20251212
M68@3,0,0,0,0,0,0,1,20250912,20251212
M681@3,0,0,0,0,0,0,1,20250912,20251212
M79@2,0,0,0,0,0,1,0,20250912,20251212
M98@3,0,0,0,0,0,0,1,20250912,20251212
O171@2,0,0,0,0,0,1,0,20250912,20251212
O491@2,0,0,0,0,0,1,0,20250912,20251212
R41@1,1,1,1,1,1,0,0,20250912,20251212
R9@1,1,1,1,1,1,0,0,20250912,20251212
T1@3,0,0,0,0,0,0,1,20250912,20251212
T11@1,1,1,1,1,1,0,0,20250912,20251212
T11@2,0,0,0,0,0,1,0,20250912,20251212
T111@1,1,1,1,1,1,0,0,20250912,20251212
T12@3,0,0,0,0,0,0,1,20250912,20251212
T12A@3,0,0,0,0,0,0,1,20250912,20251212
T2A2@3,0,0,0,0,0,0,1,20250912,20251212
T3@2,0,0,0,0,0,1,0,20250912,20251212
T5@1,1,1,1,1,1,0,0,20250912,20251212
T6@1,1,1,1,1,1,0,0,20250912,20251212
T7@2,0,0,0,0,0,1,0,20250912,20251212
T8@1,1,1,1,1,1,0,0,20250912,20251212
T9@1,1,1,1,1,1,0,0,20250912,20251212
T12@2,0,0,0,0,0,1,0,20250912,20251212
T13@2,0,0,0,0,0,1,0,20250912,20251212
T2A@2,0,0,0,0,0,1,0,20250912,20251212
T2A1@1,1,1,1,1,1,0,0,20250912,20251212
T4@1,1,1,1,1,1,0,0,20250912,20251212
T4@2,0,0,0,0,0,1,0,20250912,20251212
110@1,1,1,1,1,1,0,0,20250912,20251212
165@2,0,0,0,0,0,1,0,20250912,20251212
168@1,1,1,1,1,1,0,0,20250912,20251212
171@3,0,0,0,0,0,0,1,20250912,20251212
