route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4911,EPTC,4911,Passo Dorneles /V. Safira/Jd Protasio Alves,,3,https://linhas.eptc.com.br,008000,000000
4943,EPTC,4943,Rubem Berta/Protásio/Circular No Bairro,,3,https://linhas.eptc.com.br,008000,000000
496,EPTC,496,Jardim Protasio Alves/Passo Dorneles,,3,https://linhas.eptc.com.br,008000,000000
497,EPTC,497,Mario Quintana,,3,https://linhas.eptc.com.br,008000,000000
610,EPTC,610,Minuano,,3,https://linhas.eptc.com.br,0000FF,000000
615,EPTC,615,Sarandi,,3,https://linhas.eptc.com.br,0000FF,000000
617,EPTC,617,Iguatemi,,3,https://linhas.eptc.com.br,0000FF,000000
661,EPTC,661,Leopoldina,,3,https://linhas.eptc.com.br,0000FF,000000
665,EPTC,665,Planalto/Sabará,,3,https://linhas.eptc.com.br,0000FF,000000
671,EPTC,671,Carlos Gomes / Salso,,3,https://linhas.eptc.com.br,008000,000000
721,EPTC,721,Nova Gleba-santa Rosa/Sertorio,,3,https://linhas.eptc.com.br,0000FF,000000
731,EPTC,731,Parque Dos Maias / Sertorio,,3,https://linhas.eptc.com.br,0000FF,000000
7311,EPTC,7311,Parque Dos Maias/Cairú Via Sertório,,3,https://linhas.eptc.com.br,0000FF,000000
861,EPTC,861,Leopoldina / Cairu,,3,https://linhas.eptc.com.br,0000FF,000000
A66,EPTC,A66,Alimentadora 3 Meninas,,3,https://linhas.eptc.com.br,FF0000,000000
A70,EPTC,A70,Alimentadora Extrema,,3,https://linhas.eptc.com.br,FF0000,000000
A81,EPTC,A81,Alimentadora Campo Novo/Cavalhada,,3,https://linhas.eptc.com.br,FF0000,000000
A876,EPTC,A876,Escolar/Gedeon Leite,,3,https://linhas.eptc.com.br,FF0000,000000
A97,EPTC,A97,Alimentadora Jardim Protasio Alves,,3,https://linhas.eptc.com.br,008000,000000
A971,EPTC,A971,Alimentadora J. P. Alves/Escolar,,3,https://linhas.eptc.com.br,008000,000000
A991,EPTC,A991,Quirinas/Passo Da Batalha (Circular Alimentadora),,3,https://linhas.eptc.com.br,008000,000000
B091,EPTC,B091,Aeroporto/Industrias/Iguatemi/Anchieta,,3,https://linhas.eptc.com.br,0000FF,000000
B51,EPTC,B51,Parque / Postao Iapi/H Conceicao,,3,https://linhas.eptc.com.br,0000FF,000000
B55,EPTC,B55,Protasio/Humaita,,3,https://linhas.eptc.com.br,0000FF,000000
C2,EPTC,C2,Circular Praca Xv,,3,https://linhas.eptc.com.br,008000,000000
C31,EPTC,C31,Circular Urca/Sabados/Domingos/Feriados,,3,https://linhas.eptc.com.br,CC7722,000000
D67,EPTC,D67,Lami Via Belem Novo/Direta,,3,https://linhas.eptc.com.br,FF0000,000000
D70,EPTC,D70,Diretao/Santa Rosa,,3,https://linhas.eptc.com.br,0000FF,000000
M31,EPTC,M31,Corujao Assis Brasil/Baltazar,,3,https://linhas.eptc.com.br,0000FF,000000
M52,EPTC,M52,Corujao - Assis Brasil / Protasio,,3,https://linhas.eptc.com.br,0000FF,000000
R1,EPTC,R1,Rapida / Jardim Vila Nova,,3,https://linhas.eptc.com.br,FF0000,000000
R101,EPTC,R101,Rápida Restinga Nova/Cavalhada/Domingos,,3,https://linhas.eptc.com.br,FF0000,000000
R68,EPTC,R68,Rapida Belem Novo(Via Cavalhada),,3,https://linhas.eptc.com.br,FF0000,000000
T1,EPTC,T1,Transversal 1,,3,https://linhas.eptc.com.br,CC7722,000000
T6,EPTC,T6,Transversal 6,,3,https://linhas.eptc.com.br,CC7722,000000
A288,EPTC,A288,Alim. Dorival Castilhos/Imperial Parque/Morro Alto,,3,https://linhas.eptc.com.br,FF0000,000000
A265,EPTC,A265,Alimentadora/Jardim Medianeira,,3,https://linhas.eptc.com.br,FF0000,000000
4924,EPTC,4924,Petrópolis/Sesc (Mob),,3,https://linhas.eptc.com.br,0000FF,000000
2572,EPTC,2572,Paulino Azurenha/Azenha/Cascatinha (Via Leste),,3,https://linhas.eptc.com.br,008000,000000
6372,EPTC,6372,Chacara Das Pedras Via Iapi,,3,https://linhas.eptc.com.br,0000FF,000000
7053,EPTC,7053,Aeroporto/Ceasa/Fecomercio,,3,https://linhas.eptc.com.br,0000FF,000000
O662,EPTC,O662,Orla Rubem Berta,,3,https://linhas.eptc.com.br,0000FF,000000
2552,EPTC,2552,Caldre Fiao/Paulino Azurenha,,3,https://linhas.eptc.com.br,008000,000000
A63,EPTC,A63,Alim. Wenceslau Fontoura/Triangulo Circular,,3,https://linhas.eptc.com.br,0000FF,000000
A631,EPTC,A631,Alim. Wenceslau Fontoura Até Triangulo,,3,https://linhas.eptc.com.br,0000FF,000000
4411,EPTC,4411,Antonio De Carvalho/Beco Souza Costa,,3,https://linhas.eptc.com.br,008000,000000
7042,EPTC,7042,Humaita/Ernesto Neugebauer,,3,https://linhas.eptc.com.br,0000FF,000000
25612,EPTC,25612,Nazareth (Mais),,3,https://linhas.eptc.com.br,008000,000000
43312,EPTC,43312,Vila Jardim (Mob),,3,https://linhas.eptc.com.br,0000FF,000000
43322,EPTC,43322,Vila Jardim Via Gasômetro Domingos (Mob),,3,https://linhas.eptc.com.br,0000FF,000000
1111,EPTC,1111,Restinga Velha(Tristeza)/Shopping,,3,https://linhas.eptc.com.br,FF0000,000000
165,EPTC,165,Cohab,,3,https://linhas.eptc.com.br,FF0000,000000
168,EPTC,168,Belem Novo(Via Tristeza),,3,https://linhas.eptc.com.br,FF0000,000000
171,EPTC,171,Ponta Grossa,,3,https://linhas.eptc.com.br,FF0000,000000
1715,EPTC,1715,Ponta Grossa/Escola Loureiro Da Silva,,3,https://linhas.eptc.com.br,FF0000,000000
173,EPTC,173,Camaqua,,3,https://linhas.eptc.com.br,FF0000,000000
1761,EPTC,1761,Serraria/Rodoviaria/Via Mendes Ouriques,,3,https://linhas.eptc.com.br,FF0000,000000
250,EPTC,250,1 De Maio,,3,https://linhas.eptc.com.br,FF0000,000000
254,EPTC,254,Embratel (Cascatinha),,3,https://linhas.eptc.com.br,FF0000,000000
2621,EPTC,2621,Jardim V.nova(Cascatinha),,3,https://linhas.eptc.com.br,FF0000,000000
264,EPTC,264,Prado,,3,https://linhas.eptc.com.br,FF0000,000000
2733,EPTC,2733,Belem Novo/Hipica/Veludo(Via Schneider),,3,https://linhas.eptc.com.br,FF0000,000000
2811,EPTC,2811,Campo Novo / Morro Agudo,,3,https://linhas.eptc.com.br,FF0000,000000
2816,EPTC,2816,Campo Novo/Gedeon Leite/Domingos,,3,https://linhas.eptc.com.br,FF0000,000000
2832,EPTC,2832,Ipanema/Cavalhada/Cirino Prunes,,3,https://linhas.eptc.com.br,FF0000,000000
284,EPTC,284,Belem Velho (S.francisco)/Rincao/Betao,,3,https://linhas.eptc.com.br,FF0000,000000
344,EPTC,344,Santa Maria,,3,https://linhas.eptc.com.br,008000,000000
3944,EPTC,3944,Mapa Via Parada 4,,3,https://linhas.eptc.com.br,008000,000000
3982,EPTC,3982,Pinheiro / Ate Terminal Azenha,,3,https://linhas.eptc.com.br,008000,000000
3984,EPTC,3984,Pinheiro Via Vicosa,,3,https://linhas.eptc.com.br,008000,000000
3987,EPTC,3987,Pinheiro/Lami-verao,,3,https://linhas.eptc.com.br,008000,000000
