latitude,longitude,rwi,error
-31.3067147,-52.3937988,-0.509,0.379
-3.6559638,-41.1657715,-0.160,0.423
-17.8009957,-42.4182129,0.289,0.502
-3.7217452,-60.1281738,-0.517,0.375
-25.3738088,-54.1076660,0.004,0.446
-0.6701507,-47.3620605,-0.157,0.399
-19.0725011,-42.0886230,-0.951,0.389
-6.6318701,-37.5622559,-0.740,0.389
-9.1780244,-42.6818848,-0.501,0.393
-29.6021178,-51.2951660,0.250,0.450
-29.9263737,-51.7785645,0.178,0.417
-30.3444351,-51.5808105,0.287,0.459
-26.4804067,-52.9431152,0.004,0.436
-23.6344594,-46.1755371,-0.133,0.439
-4.2478122,-41.8469238,-0.815,0.379
-9.1997151,-35.4968262,-0.497,0.379
-13.4216803,-39.0783691,0.001,0.430
-3.6340356,-44.0222168,-0.769,0.328
-9.7631974,-38.0236816,-0.546,0.369
-14.2324377,-43.6926270,-0.893,0.365
-16.2252233,-43.3850098,-0.748,0.347
-26.6376385,-52.7453613,-0.546,0.414
-8.8742168,-35.7385254,-0.587,0.460
-22.1772314,-45.8020020,-0.518,0.403
-2.1637921,-56.8103027,-0.620,0.392
-14.1685340,-39.1882324,-0.713,0.349
-25.8691090,-50.2404785,-0.565,0.412
-7.0463790,-40.1110840,-0.846,0.426
-14.9129381,-43.5168457,0.002,0.414
-30.8362142,-52.0642090,-0.191,0.362
-4.3135463,-37.9357910,0.277,0.496
-3.3708564,-59.2492676,0.052,0.439
-12.9081979,-42.2644043,-0.448,0.402
-12.9724418,-43.1213379,-0.602,0.324
-1.3731595,-47.9333496,-0.446,0.463
-23.2514401,-51.6906738,-0.334,0.450
-20.9101341,-41.8249512,-0.227,0.414
-3.0417830,-56.9201660,-0.915,0.378
-23.0696240,-46.8347168,0.468,0.437
-1.0656124,-47.2741699,-0.057,0.486
-4.2478122,-46.5270996,-0.107,0.403
-23.3725134,-50.1525879,-0.801,0.436
-22.7457888,-47.1203613,0.792,0.436
-9.5249141,-59.1394043,-0.749,0.412
-11.5769066,-37.7819824,0.383,0.468
-10.3689583,-56.4367676,-0.531,0.463
-9.8714518,-36.5515137,-0.340,0.428
-4.6421296,-37.8259277,-0.286,0.428
-9.1346391,-68.5217285,-0.273,0.431
-15.4219101,-42.5939941,-0.498,0.439
-25.7306321,-51.6027832,0.055,0.420
-29.5256700,-50.1306152,0.026,0.448
-11.0813844,-40.1989746,-0.273,0.444
-26.9318647,-49.2956543,-0.205,0.398
-29.0081399,-51.9543457,-0.347,0.404
-19.5701418,-42.8796387,-0.385,0.459
-23.7551814,-47.4060059,0.437,0.455
-8.5918843,-49.0759277,-0.495,0.350
-7.1553996,-36.5734863,-0.083,0.368
-4.7297265,-44.9450684,0.059,0.411
-2.5370123,-45.0109863,-0.083,0.419
-22.2585964,-44.5056152,-0.133,0.433
-22.8268200,-43.2092285,0.561,0.487
-4.0944111,-46.8566895,-0.534,0.343
-22.3195891,-51.5808105,0.008,0.431
-25.2943708,-49.5593262,0.143,0.421
-10.8225151,-44.3518066,-0.526,0.354
-20.6225019,-43.3190918,-0.735,0.439
-9.1129444,-37.3425293,-0.702,0.392
-7.8960294,-37.1667480,-0.415,0.406
-7.2425974,-41.8469238,-0.523,0.386
-8.0918616,-38.6828613,-0.767,0.391
-14.7005081,-41.6491699,-0.538,0.359
-20.6430652,-41.8688965,0.214,0.423
-4.4011829,-43.2092285,-0.395,0.327
-8.0265947,-35.8703613,-0.455,0.420
-23.8356006,-47.5378418,-0.547,0.405
-4.6202287,-40.7482910,-0.640,0.384
-28.5459253,-55.2062988,-0.399,0.369
-15.7816814,-48.8122559,-0.432,0.426
-21.6063650,-41.9348145,-0.598,0.409
-30.5528000,-51.7785645,-0.336,0.423
-26.8142658,-48.6364746,0.760,0.457
-14.5091441,-41.8029785,-0.758,0.415
-25.2347581,-50.8337402,-0.486,0.430
-23.3523422,-48.0651855,-0.439,0.411
-3.0856655,-45.1647949,-0.648,0.344
-1.1534865,-50.6359863,-0.673,0.355
-2.7784514,-45.1428223,-0.122,0.353
-5.3425828,-48.3288574,-0.839,0.368
-4.5545219,-44.8132324,-0.326,0.443
-24.6370310,-50.8337402,-0.151,0.445
-19.7149999,-47.9333496,0.851,0.468
-5.3425828,-37.4743652,-0.415,0.397
-9.1346391,-42.9235840,-0.314,0.428
-7.1335976,-46.2414551,-0.381,0.362
-26.2441559,-48.8122559,1.167,0.421
-4.0286586,-38.7707520,0.253,0.385
-13.3575541,-42.6379395,-0.450,0.402
-3.7436712,-50.5041504,-0.626,0.338
-9.0261526,-36.4196777,-0.538,0.440
-28.0428943,-55.2502441,-0.337,0.400
-22.6038685,-47.4060059,1.434,0.417
-11.3831090,-37.8479004,0.577,0.474
-6.3043786,-35.1892090,-0.033,0.393
-16.0985977,-43.5827637,-0.266,0.438
-23.4934763,-51.2731934,0.234,0.410
-20.5196439,-44.2858887,-0.463,0.386
-23.2514401,-47.1643066,0.801,0.418
-11.3400249,-37.4963379,-0.302,0.356
-7.3515708,-35.0354004,-0.023,0.457
-22.5430006,-46.0437012,0.628,0.426
-29.6594156,-51.9104004,-0.349,0.401
-31.4192877,-52.3937988,-0.116,0.441
-13.0366691,-42.5500488,-0.684,0.466
-20.0456105,-44.9890137,-0.168,0.487
-29.1809408,-51.1193848,0.438,0.446
-23.8757915,-52.4597168,-0.779,0.423
-29.9644524,-52.4377441,-0.466,0.415
-24.3771204,-53.2067871,-0.292,0.435
-10.0013102,-37.6940918,-0.258,0.428
-4.5983271,-45.2087402,-0.472,0.341
-12.2004420,-44.9890137,0.230,0.449
-2.1637921,-47.4499512,-0.541,0.370
-5.5175751,-49.5593262,-0.684,0.342
-29.3342978,-52.9650879,0.131,0.465
-5.7143797,-42.5720215,-0.499,0.358
-10.0878536,-36.3757324,-0.474,0.425
-8.4832384,-36.9909668,-0.895,0.416
-19.8803914,-44.3298340,-0.536,0.445
-19.4665919,-43.7805176,-0.494,0.408
-25.0159284,-53.2507324,-0.523,0.557
-4.8829942,-49.2517090,-0.379,0.327
-14.9978516,-41.6271973,-0.724,0.417
-3.0417830,-57.1179199,-0.702,0.379
-3.3708564,-39.4519043,-0.273,0.444
-18.3858046,-49.2077637,1.008,0.428
-18.7607124,-40.7263184,-0.699,0.433
-26.6572773,-53.3605957,0.106,0.438
-24.0966182,-46.7468262,0.016,0.457
-21.2586610,-46.5270996,-0.254,0.411
-1.3072596,-48.9880371,-0.400,0.357
-3.6998186,-43.8684082,-0.728,0.343
-22.7457888,-47.0544434,1.224,0.462
-22.2382596,-45.5822754,-0.229,0.432
-8.1353671,-34.9475098,0.872,0.420
-2.0759616,-50.8117676,-0.803,0.349
-29.7548395,-53.7780762,0.426,0.436
-5.7143797,-37.3425293,-0.714,0.387
-12.6510579,-44.3518066,-0.464,0.448
-19.6115432,-41.6491699,0.060,0.450
-8.2875987,-40.2868652,-0.700,0.337
-8.6353339,-36.9689941,-0.228,0.372
-7.4169421,-36.3757324,-0.127,0.432
-18.8647066,-42.5280762,-0.501,0.455
-3.2831139,-60.5017090,-0.452,0.420
-1.6147764,-45.3625488,-0.747,0.363
-16.2041247,-45.4064941,-0.436,0.349
-2.4492049,-44.7033691,-0.232,0.359
-18.6150130,-40.7043457,-0.111,0.385
-2.5809138,-44.7253418,-0.105,0.375
-4.7954168,-44.5495605,-0.123,0.416
-5.4519589,-51.4050293,-0.590,0.330
-19.5908438,-40.6384277,0.084,0.424
-6.8282612,-35.2990723,-0.474,0.422
-1.5269188,-46.7687988,-0.567,0.378
-21.2381821,-46.3952637,-0.557,0.392
-3.9409805,-38.3532715,0.449,0.464
-13.0580745,-43.0773926,-0.550,0.353
-20.6841834,-42.3303223,-0.685,0.425
-16.9622326,-40.2429199,0.085,0.350
-28.8735390,-49.7131348,-0.302,0.401
-22.2992611,-46.5051270,-0.168,0.429
-8.0918616,-70.2575684,-0.533,0.414
-11.4477230,-39.3200684,-0.294,0.437
-20.3549272,-46.8347168,0.348,0.449
-19.0101900,-44.1320801,-0.865,0.410
-26.1258498,-48.9001465,0.204,0.365
-19.2592938,-40.3308105,0.878,0.473
-26.9122734,-50.7458496,-0.159,0.398
-28.6231031,-53.5803223,0.626,0.416
-7.2207995,-37.0349121,-0.524,0.437
-25.8888782,-53.0969238,0.087,0.408
-25.5721751,-49.5593262,-0.029,0.424
-11.1891794,-39.0124512,-0.430,0.465
-26.1850178,-49.2077637,-0.033,0.389
-3.1514858,-44.2639160,-0.507,0.399
-23.7551814,-47.6037598,-0.364,0.423
-19.9423689,-42.9455566,-0.262,0.443
-14.1898373,-41.6711426,1.268,0.487
-14.2963234,-49.9328613,-0.029,0.463
-27.1666948,-48.5266113,0.939,0.421
-21.9736132,-42.3522949,0.802,0.458
-1.0656124,-47.1423340,-0.215,0.386
-6.4572344,-46.1975098,0.116,0.489
-19.8183898,-42.8576660,-0.633,0.481
-19.6115432,-42.7917480,0.504,0.404
-25.3142351,-49.3835449,-0.064,0.438
-0.2526847,-50.8996582,-0.626,0.405
-1.9222467,-55.5358887,0.105,0.498
-21.7697025,-46.5490723,0.242,0.438
-10.2176252,-39.2102051,-0.629,0.355
-2.7126091,-45.8459473,-0.518,0.330
-14.3601909,-43.2751465,-0.480,0.455
-4.2039864,-40.6604004,-0.467,0.399
-3.4585910,-44.0661621,-0.735,0.371
-4.7516240,-62.1496582,-0.777,0.395
