# PVOUT Terrain RGB encoding: value = (R*256² + G*256 + B) * scale + offset
# scale=0.001, offset=0, unit=kWh/kWp/day
# value R G B
3.0 0 11 184
3.1 0 12 28
3.2 0 12 128
3.3 0 12 228
3.4 0 13 72
3.5 0 13 172
3.6 0 14 16
3.7 0 14 116
3.8 0 14 216
3.9 0 15 60
4.0 0 15 160
4.1 0 16 4
4.2 0 16 104
4.3 0 16 204
4.4 0 17 48
4.5 0 17 148
4.6 0 17 248
4.7 0 18 92
4.8 0 18 192
4.9 0 19 36
5.0 0 19 136
